date,usd_inr_rate,diesel_price_inr_litre,industrial_power_tariff_inr_kwh,mn_ore_cif_usd_dmtu,imported_coke_cif_usd_mt,domestic_steel_scrap_inr_mt,simn_actual_procured_rate_inr_mt,simn_cost_predicted_should_cost,fesi_actual_procured_rate_inr_mt,fesi_cost_predicted_should_cost,femn_actual_procured_rate_inr_mt,femn_cost_predicted_should_cost,cpc_carbon_procured_rate_inr_mt,mcfemn_actual_procured_rate_inr_mt,fecr_actual_procured_rate_inr_mt
2016-09-01,66.81629943847656,60.83,5.51,246.0,337.4,30516.0,47477.0,45651.0,72338.0,68893.0,44074.0,42379.0,27162.0,51703.0,77330.0
2016-10-01,66.78140258789062,60.47,5.51,245.4,336.5,30463.0,47437.0,45613.0,72324.0,68880.0,44023.0,42330.0,27101.0,51642.0,77310.0
2016-11-01,68.60800170898438,62.5,5.59,247.8,339.8,31339.0,48246.0,46391.0,73197.0,69711.0,44894.0,43167.0,27816.0,52664.0,78498.0
2016-12-01,67.9448013305664,64.67,5.56,252.1,345.7,31343.0,48231.0,46376.0,72962.0,69488.0,44940.0,43211.0,27965.0,52718.0,78136.0
2017-01-01,67.82099914550781,64.59,5.55,252.0,345.7,31291.0,48162.0,46309.0,72865.0,69395.0,44872.0,43146.0,27929.0,52638.0,78023.0
2017-02-01,66.69319915771484,63.7,5.5,251.1,344.5,30791.0,47687.0,45853.0,72330.0,68886.0,44368.0,42662.0,27529.0,52048.0,77293.0
2017-03-01,64.79000091552734,61.35,5.42,248.2,340.5,29853.0,46835.0,45034.0,71443.0,68041.0,43442.0,41771.0,26752.0,50961.0,76074.0
2017-04-01,64.25830078125,60.55,5.39,247.1,339.0,29575.0,46554.0,44763.0,71123.0,67736.0,43144.0,41485.0,26516.0,50611.0,75672.0
2017-05-01,64.61859893798828,60.12,5.41,246.1,337.7,29655.0,46653.0,44859.0,71309.0,67913.0,43228.0,41566.0,26548.0,50710.0,75918.0
2017-06-01,64.78510284423828,59.14,5.42,244.3,335.1,29606.0,46631.0,44837.0,71377.0,67978.0,43178.0,41517.0,26453.0,50651.0,76017.0
2017-07-01,64.12349700927734,60.88,5.39,247.8,340.0,29564.0,46563.0,44773.0,71126.0,67739.0,43156.0,41497.0,26532.0,50626.0,75642.0
2017-08-01,63.976200103759766,60.68,5.38,247.5,339.6,29489.0,46479.0,44692.0,71023.0,67641.0,43069.0,41413.0,26467.0,50524.0,75518.0
2017-09-01,65.36000061035156,63.8,5.44,252.2,346.0,30328.0,47239.0,45422.0,71726.0,68311.0,43920.0,42231.0,27222.0,51522.0,76453.0
2017-10-01,64.84239959716797,63.5,5.42,252.0,345.7,30111.0,47044.0,45235.0,71510.0,68105.0,43712.0,42031.0,27054.0,51278.0,76143.0
2017-11-01,64.41480255126953,65.97,5.4,256.6,352.1,30233.0,47117.0,45305.0,71382.0,67982.0,43851.0,42164.0,27278.0,51441.0,75928.0
2017-12-01,63.84080123901367,67.0,5.37,258.8,355.2,30143.0,46994.0,45186.0,71113.0,67727.0,43757.0,42074.0,27275.0,51330.0,75560.0
2018-01-01,63.769901275634766,68.06,5.37,260.7,357.8,30236.0,47076.0,45266.0,71140.0,67752.0,43864.0,42177.0,27394.0,51456.0,75564.0
2018-02-01,64.91000366210938,67.25,5.42,258.6,354.8,30551.0,47403.0,45579.0,71626.0,68215.0,44176.0,42477.0,27576.0,51822.0,76257.0
2018-03-01,65.0698013305664,69.36,5.43,262.2,359.8,30843.0,47664.0,45831.0,71788.0,68369.0,44493.0,42781.0,27900.0,52193.0,76432.0
2018-04-01,66.61000061035156,70.26,5.5,262.9,360.6,31490.0,48302.0,46444.0,72527.0,69074.0,45164.0,43427.0,28417.0,52981.0,77437.0
2018-05-01,67.43000030517578,74.02,5.53,269.0,369.1,32200.0,48926.0,47044.0,72959.0,69485.0,45905.0,44140.0,29155.0,53850.0,78004.0
2018-06-01,68.79669952392578,75.65,5.6,271.1,371.8,32867.0,49613.0,47705.0,73714.0,70204.0,46641.0,44847.0,29742.0,54713.0,78979.0
2018-07-01,68.68499755859375,75.59,5.59,271.0,371.7,32820.0,49544.0,47639.0,73616.0,70110.0,46573.0,44782.0,29701.0,54634.0,78868.0
2018-08-01,71.40499877929688,76.25,5.71,270.5,370.9,33861.0,50582.0,48636.0,74867.0,71302.0,47652.0,45819.0,30511.0,55899.0,80597.0
