date,year,month,item_id,item_name,department,category,criticality,lead_time_days,unit_cost_inr,hot_metal_production_mt,plant_operating_hours,is_planned_shutdown,actual_consumption
2016-01-31,2016,1,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,384341,714,0,14
2016-02-29,2016,2,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,371333,703,0,15
2016-03-31,2016,3,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,393094,700,1,18
2016-04-30,2016,4,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375627,703,0,13
2016-05-31,2016,5,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,382281,708,0,11
2016-06-30,2016,6,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,386926,702,0,12
2016-07-31,2016,7,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,372981,709,0,10
2016-08-31,2016,8,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375234,710,0,13
2016-09-30,2016,9,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375922,712,0,14
2016-10-31,2016,10,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375470,701,0,18
2016-11-30,2016,11,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,375458,702,1,19
2016-12-31,2016,12,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,376009,718,0,14
2017-01-31,2017,1,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,386624,706,0,12
2017-02-28,2017,2,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,402290,703,0,16
2017-03-31,2017,3,SP-BF-001,Tuyere Copper Cooler (Blast Furnace),Blast Furnace,Capital Spares,High,45,85000,385951,701,1,16
